slug,name,source_page,image_url,evidence
amelie-liu,"Amelie Liu","https://www.yesyale.org/team","https://www.yesyale.org/_next/image?url=%2Fimages%2Fteam%2Famelie-liu.jpg&w=3840&q=75",named-alt
anushka-nijhawan,"Anushka Nijhawan","https://www.ycombinator.com/companies/spur","https://bookface-images.s3.us-west-2.amazonaws.com/avatars/9d242d62abeffc70cc41a23e1cb30e103c74ef52.jpg",named-alt
april-koh,"April Koh","https://www.springhealth.com/about-us","https://cdn.prod.website-files.com/64270b7f9c43395c1287361d/64270b7f9c43393b6e873b26_SH23-BlogPost-KarishmaLeadershipPodcast.avif",named-context
arinze-agu,"Arinze Agu","https://myeezz.com/about","https://framerusercontent.com/images/trILe8LoTK8AvwY6acHbD80g7aM.jpeg?width=295&height=295",named-context
ariyan-patel,"Ariyan Patel","https://www.pathlightproj.com/about","https://www.pathlightproj.com/_next/image?url=%2Fteam%2Fariyan-patel.jpeg&w=3840&q=75",named-alt
bailey-ehrens,"Bailey Ehrens","github.com/august-andersen/yes-catalog data/profiles.json","https://tennieclothing.com/cdn/shop/files/SOM_Profile.jpg?v=1736954256&width=1500",named-file
diana-salha,"Diana Salha","https://www.cosnetix.com/about","https://images.squarespace-cdn.com/content/v1/684bf7d88c9aa444b82082a7/aae324db-ffa1-46de-9c79-b518a78e74f8/Headshot.jpg",named-context
dianna-liu,"Dianna Liu","https://insights.som.yale.edu/insights/most-startups-fail-these-founders-thought-making-an-impact-was-worth-the-risk","https://insights.som.yale.edu/sites/default/files/styles/rectangle_xs/public/2026-01/Dianna%20Liu%20ARIX%20Technologies.jpg?h=21daf0dd&itok=pIy21VAh",named-alt
grace-gerwe,"Grace Gerwe","https://gracegerwe.com/","https://gracegerwe.com/assets/IMG_5856.jpeg",named-context
jimmy-carter,"Jimmy Carter","https://news.yale.edu/2025/05/15/jimmy-carters-big-dreams-stretch-cinema-silicon-valley-yale","https://news.yale.edu/sites/default/files/styles/horizontal_topper_image/public/2025-05/Jimmy_Carter-YN.jpg?h=1bacf8c7&itok=OvTn018g",named-alt
jinali-mody,"Jinali Mody","https://cbey.yale.edu/our-community/jinali-mody","https://cbey.yale.edu/sites/default/files/styles/person_profile/public/2023-02/Jinali%20Mody.png?h=ff49a679&itok=JWmPsjcT",named-alt
kashi-tuteja,"Kashi Tuteja","https://www.yesyale.org/team","https://www.yesyale.org/images/team/kashi-tuteja.jpg",named-file
keith-pemberton,"Keith Pemberton","github.com/august-andersen/yes-catalog data/profiles.json","https://macmillan.yale.edu/sites/default/files/styles/portrait_360/public/2024-09/Keith%20Pemberton.jpg?h=05e6acb3&itok=PfU1IDaR",named-file
kevin-wang,"Kevin Wang","https://anatomi.st/","https://anatomi.st/kevin.jpeg",named-alt
laurie-jimenez,"Laurie Jimenez","https://www.getfulcrumcare.com/","https://static.wixstatic.com/media/ddc29a_7eb7c079afc34925b8854d60c800a7dd~mv2.png/v1/crop/x_0,y_110,w_4047,h_3828/fill/w_277,h_262,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/headshot_laurie.png",named-context
leia-ryan,"Leïa Ryan","https://www.yesyale.org/team","https://www.yesyale.org/images/team/leia-ryan.jpg",named-file
madhav-lavakare,"Madhav Lavakare","https://www.yalescientific.org/2024/05/undergraduate-profile-madhav-lavakare-yc-25/","https://www.yalescientific.org/wp-content/uploads/Salmon_1-500x333.jpg",profile-sole-image
maya-caine,"Maya Caine","https://helixcommons.com/","https://framerusercontent.com/images/2o9YjIvqzEeSRQt9ktYu3JZg4.png?width=4500&height=5625",named-context
miles-lasater,"Miles Lasater","github.com/august-andersen/yes-catalog data/profiles.json","https://mileslasater.com/assets/images/image01.jpg?v=706f7a46",named-file
nick-callegari,"Nick Callegari","https://www.verustruct.com/team","https://www.verustruct.com/_next/image?url=%2FTeam%2520Headshots%2FNick-Callegari-Cropped.jpeg&w=3840&q=100&dpl=dpl_AGBwE25PdZVjAYiuSmFJeZ11H1Qn",named-alt
nicolas-gertler,"Nicolas Gertler","https://dec.yale.edu/nicolas-gertler","https://dec.yale.edu/sites/default/files/styles/max_width_320/public/2024-04/Nicolas%20Gertler%202.jpg?itok=kVUzChAX",profile-sole-image
paul-gross,"Paul Gross","https://remoracarbon.com/about/","https://remoracarbon.com/wp-content/uploads/2025/04/IMG_3355-e1745775535700-1024x1024.jpeg",named-context
petter-wehlin,"Petter Wehlin","https://www.arix-tech.com/about/team","https://www.arix-tech.com/hubfs/2026-redesign/team/petter-wehlin.jpg",named-alt
ron-pile,"Ron Pile","https://assistivemath.com/about","https://assistivemath.com/.netlify/images?url=%2Fmedia%2Fteam%2Falloyce_headhsot.jpg",named-context
sacha-levy,"Sacha Lévy","https://www.theseus.us/about","https://cdn.prod.website-files.com/679ce8faa835bf53624cc174/679ce8faa835bf53624cc19b_Frame%201597883291.jpg",named-context
sam-hendel,"Sam Hendel","https://schwarzman.yale.edu/news/sam-hendel-joins-yale-schwarzman-center-advisory-board","https://schwarzman.yale.edu/sites/default/files/styles/3_2_320/public/2025-09/Sam%20Hendel%20Web.webp?h=3387d114&itok=a7oH5UMJ",named-file
sean-glass,"Sean Glass","https://yaleventures.swoogo.com/yaleinnovation2026/speaker/2313433/sean-glass","https://assets.swoogo.com/uploads/medium/6982046-69fb8e30358a5.png",named-alt
shubh-jain,"Shubh Jain","https://environment.yale.edu/spotlight/bekenstein-climate-leader-shubh-jain-mem","https://environment.yale.edu/sites/default/files/styles/4x5z1_xxxsmall/public/2024-10/Shubh-Jain-spotlight.jpg?h=22a7e701&itok=WioomJN9",named-file
sneha-sivakumar,"Sneha Sivakumar","https://www.ycombinator.com/companies/spur","https://bookface-images.s3.us-west-2.amazonaws.com/avatars/80c64e0d9f5d6fd339920417c26232270a2460f3.jpg",named-alt
sofia-teifeld,"Sofia Teifeld","https://www.yesyale.org/team","https://www.yesyale.org/_next/image?url=%2Fimages%2Fteam%2Fsofia-teifeld.jpg&w=3840&q=75",named-alt
teo-dimov,"Teo Dimov","github.com/august-andersen/yes-catalog data/profiles.json","https://cdn.sanity.io/images/jhve05or/production/c9e45948878f5740dc38d66a5daac2202a13dcae-400x400.png",named-file
yavin-fickel,"Yavin Fickel","https://www.yesyale.org/team","https://www.yesyale.org/images/team/yavin-fickel.jpg",named-file
ziv-levi,"Ziv Levi","https://www.leancon.ai/about-us/","https://www.leancon.ai/wp-content/uploads/2025/11/Frame-1984078999-1.png",named-alt
